Region,project,bp_from,bp_to,km from,km to,distance,Bemerkungen,date from,date to,amount of weeks,Umsetzung /  Intervalltyp / Umleitung,reduction of capacity,bis_geopos,von Betriebspunkt
ROT,ZSTH Stw Ersatz,ZSTH,ZSTH,,,0,integriert AS35 ZSTH 4. Gl?,1/1/2029,12/1/2030,100,Umsetzung,,"47.3666097487, 8.54848908807",Zürich Stadelhofen,0
ROT,WS Stw Ersatz,WS,WS,,,0,im Projekt AS35 Brüttener,1/1/2029,12/1/2030,100,Umsetzung,,"47.4127230589, 8.59192822558",Wallisellen,0
ROT,KL Ersatz Ue Schaffhauserstr.,KL,KL,,,0,Verschiebung von 21-23,1/1/2024,10/31/2027,200,Umsetzung,,"47.4486073311, 8.5838096454",Kloten,0
ROT,AS35 ZFZ W-WF,W,WF,,,0,Studie mit 840-6,1/1/2028,9/6/2030,140,Umsetzung,,"47.5662242454, 9.10636820814",Weinfelden,0
ROT,AS35 OWT neues Perrongleis 2,OWT,OWT,,,0,,1/1/2031,10/31/2034,200,Umsetzung,,"47.5079223324, 8.76038920944",Oberwinterthur,0
ROT,"AS35 WF Anlageanpassungen (Perronverlängerung,                           Ersatz Gl 2)",WF,WF,,,0,"Studie für 840-1,840-6, 840-7      Start VS 09/2020",1/1/2028,11/30/2029,100,Umsetzung,,"47.5662242454, 9.10636820814",Weinfelden,0
ROT,,,,,,0,,,###############################################################################################################################################################################################################################################################,,,,,,404
ROT,FbE24 SLG - RH,SLG,RH,,,3.1,Voraussichtlich nach 2025 schieben. Einspur in Konflikt mit Rheintal Süd,6/1/2024,8/9/2024,10,Sperre Strecke Nacht,0.25,"47.565522828, 9.37937134408",Romanshorn,2
ROT,WIL Leistungssteigerung,WIL,WIL,,,0,,1/1/2024,12/15/2024,50,Umsetzung,,"47.4624132783, 9.04099307807",Wil SG,0
ROT,WIL Stw Ersatz,WIL,WIL,,,0,,1/1/2029,12/1/2030,100,Umsetzung,,"47.4624132783, 9.04099307807",Wil SG,0
ROT,SGBR BehiG (Studie nötig),SGBR,SGBR,,,0,Studie mit Variante Verschiebung Haltestelle wird gestartet 08/20,1/1/2026,10/7/2026,40,Umsetzung,,"47.4072028078, 9.32965488682",St Gallen Bruggen,0
ROT,AS35 SG Ostkopf (östliche Anbindung Gl. 7),SG,SG,,,0,,1/1/2027,9/6/2029,140,Umsetzung,,"47.4231789578, 9.36989672929",St Gallen,0
ROT,SG Neubau Autobahnzubringer Güterbahnhof,SG,SG,,,0,,1/1/2034,10/31/2037,200,Umsetzung,,"47.4231789578, 9.36989672929",St Gallen,0
ROT,ZEB WAKO W-SG,W,SG,,,0,,1/1/2025,10/16/2029,250,Umsetzung,,"47.4231789578, 9.36989672929",St Gallen,0
ROT,AS35 RS Wendegleis,RS,RS,,,0,,1/1/2031,11/30/2032,100,Umsetzung,,"47.4780019584, 9.50514123365",Rorschach,0
ROT,SMG Stw Ersatz,SMG,SMG,,,0,,1/1/2028,11/30/2029,100,Umsetzung,,"47.4532159757, 9.6382619195",St Margrethen,0
ROT,AS25 WZ Güterverkehrsanlage Schöneich,WZ,WZ,,,0,min. Intervallbedarf  WZ - HI                     3x WE plus 3 Mt. Abend,1/1/2025,9/29/2026,91,Umsetzung,,"47.3180315958, 8.79228970642",Wetzikon,0
ROT,OSS BehiG,OSS,OSS,,,0,08/20: ev Zusammenlegung BehiG 1159704 mit Ausbau,1/1/2025,12/16/2025,50,Umsetzung,,"47.6146139832, 8.72411652563",Ossingen,0
ROT,SH-FT Sanierung Rheinbrücke,SH,FT,,,0,"BFP 23.3.20, Cluster mit FbE Gl 643 SH-FT (2026) bilden",1/1/2025,8/18/2026,85,Umsetzung,,"47.6921694419, 8.645968468",Feuerthalen,0
ROT,EZ BehiG,EZ,EZ,,,0,viele Arbeiten tagsüber ohne Sperrung möglich,2/5/2024,4/28/2024,12,Sperre Bahnhof Nacht,,"47.6454121293, 8.87656168183",Eschenz,5
ROT,Neubau Brücke WIL-BRO km 1.4 (Zürcherstr.),WIL,BRO,,,0,externe Studie abgeschlossen 06/20,1/1/2024,10/6/2024,40,Umsetzung,,"47.4754443436, 9.03467784735",Bronschhofen,0
ROT,FbE24_KRB_Gl 82_W_10 (ex FbE20),KRB,KRB,,,0,"2020 Wochenendsperrung geplant, Gl 82 ursprünglich in 1158561 geplant",11/23/2024,12/6/2024,2,Sperre Strecke 24 Std,1,"47.6421145154, 9.16320415414",Kreuzlingen Bernrain,3
ROT,"FbE25 BERG-AHAU 728-730, 91 (ex FbE20)",BERG,SHAU,,,0,Totalsperrung,2/23/2025,4/19/2025,8,Sperre Strecke 24 Std,1,"47.6109170232, 9.16826008543",Siegershausen,3
ROT,Cluster SOB Ost 2024,HE,LSG,,,0,Verl. Nachtintervalle KW 17 - 27,3/21/2024,7/3/2024,15,Umsetzung,1,"47.3196899626, 9.08317001921",Lichtensteig,0
RSD,Stabilität auf der  Gotthardachse 750M,BRU,BRU,19.7,20.6,0.9,Anlagen Manko,4/7/2025,9/28/2025,25,Sperre Bahnhof Nacht,0.25,"46.9991749495, 8.61006762236",Brunnen,5
RSD,FbE25_ER_W_136-137-138_GL_A8-A9-A10-A68,ER,ER,41.6,42.6,0.333,FbE25,6/1/2025,7/5/2025,5,Sperre Bahnhof Nacht,0.5,"46.8203393997, 8.65045465313",Erstfeld,5
RSD,FbE25_ER_W_57-58-59-60-61_GL_A73,ER,ER,41.6,42.6,0.333,FbE25,7/6/2025,8/9/2025,5,Sperre Bahnhof Nacht,0.5,"46.8203393997, 8.65045465313",Erstfeld,5
RSD,FbE24_AP_AoE_W_11-12 und Gl1-61,AP,AP,92.5,93.5,1,FbE24,6/24/2024,7/14/2024,3,Sperre Bahnhof Tag,0.25,"46.5107637997, 8.689927873",Ambrì-Piotta,4
RSD,BZU23 Ambrì,AP,AP,92.95,93.3,0.35,BZU23,3/1/2027,11/28/2027,39,Sperre Strecke Tag,0.5,"46.5107637997, 8.689927873",Ambrì-Piotta,1
RSD,"BEL-GIU, 3. Gleis/ Ind. (AS25)",BEL,GIU,150.638,153.07,2.432,Anfragedossier,1/1/2024,12/27/2026,156,Umsetzung,,"46.1738126869, 9.00360006177",Giubiasco,0
RSD,Phase A10,BEL,GIU,150.638,151.31,0.672,Bellinzona W660-831-1,1/21/2025,9/1/2025,32,Sperre Strecke Nacht,0.25,"46.1738126869, 9.00360006177",Giubiasco,2
RSD,Phase A11,BEL,GIU,150.638,151.734,1.096,Bellinzona Sud 871 861-851,9/11/2025,12/10/2025,13,Sperre Strecke Nacht,0.25,"46.1738126869, 9.00360006177",Giubiasco,2
RSD,Diverse Bauphasen in die Strecke,VEZB,CAP,178.278,195.442,,Noch nicht definiert (Risiken),2/1/2022,12/25/2023,99,Sperre Strecke Nacht,0.25,"45.9028373055, 8.97890520587",Capolago-Riva S Vitale,2
RSD,FbE24_BAA-ZG_GL_327-92,BAA,ZG,27.339,28.264,1.925,FbE24,4/1/2024,4/28/2024,4,Sperre Strecke Nacht,0.5,"47.1737069864, 8.51504936752",Zug,2
RME,"Münsingen, AS25 Wendegleis",RUB,WCH,118.01,126.053,0.126053,Koo mit Ausbau Lötschberg-Basistunel (BLS),6/30/2023,12/6/2029,336,Sperre Bahnhof 24 Std,0.5,"46.8416120861, 7.56885575439",Wichtrach,6
RME,"Gümligen Süd, AS25 Entflechtung",OST,RUB,113.25,118.01,0.11801,Koo mit Ausbau Lötschberg-Basistunel (BLS),6/30/2023,11/23/2028,282,Sperre Strecke 24 Std,0.5,"46.89916972, 7.54536833414",Rubigen,3
RME,FbE24 TH-UTI Gleis 424,UTI,TH,131.45,135.53,0.13553,Koo mit Gleis 420,1/15/2024,12/15/2024,48,Sperre Strecke Nacht,,"46.7548527757, 7.62960576339",Thun,2
RME,,HAE,HAE,,,0,,1/29/2024,5/26/2024,17,Sperre Bahnhof Nacht,0.5,"47.330267812, 7.84381638329",Hägendorf,5
RME,,SW,SW,74.879,74.664,0.074664,Vsl. Schiebung nach 24,2/1/2023,8/1/2023,26,Sperre Bahnhof Nacht,0.25,"47.2067172615, 7.53194908407",Solothurn West,5
RME,Lengnau: Umbau Bahnhof (BehiG/LHand),LEN,LEN,87.676,88.119,0.088119,Zusätzlich Erneuerung Gl. 3,1/1/2025,12/16/2025,50,Sperre Bahnhof Nacht,0.5,"47.1794313873, 7.36655363682",Lengnau,5
RME,ZEB; Solothurn-Wanzwil: Leistungssteigerung ABS,SO,WANZ,79,68,0.068,Unterbruch der Arbeiten wegen wegen STW Ersatz RBC / Flankenschutz Wanzwil «1.Teil im 2025 und 2 Teil ab 2028»,1/1/2025,10/16/2029,250,Sperre Strecke Nacht,0.25,"47.1982449674, 7.69921296101",Wanzwil (Abzw),2
RME,Langenthal Erweiterung PU,LTH,LTH,59.1,59.3,0.0593,,1/1/2022,6/30/2024,,Umsetzung,,"47.2173029163, 7.78471520185",Langenthal,0
RME,"BZ Mitte, Migration rcs95 auf RCI Zelle LTH",OL,LTH,41.5,59.8,0.0598,,1/1/2025,12/2/2025,48,Sperre Strecke Nacht,,"47.2173029163, 7.78471520185",Langenthal,2
RME,Nacharbeiten Cluster SCHH_LN,LN,SCHH,38.1,59.7,0.0597,Div.,8/2/2025,10/24/2025,12,Sperre Strecke Nacht,0.25,"46.9506473328, 8.01515060209",Schüpfheim,2
RME,Olten-Aarburg-Olten ZfZ,OL,ABO,39.3,44,0.044,,1/1/2026,11/15/2028,150,Sperre Bahnhof Nacht,0.5,"47.3202684783, 7.90822265971",Aarburg-Oftringen,5
RME,ABO Perronverlängerung,ABO,ABO,42.75,43.1,0.0431,,4/1/2029,12/1/2029,35,Sperre Strecke Nacht,,"47.3202684783, 7.90822265971",Aarburg-Oftringen,2
RME,"Sursee: FbE Gl 71-81,72-82 & Weichen 40,63,64",SS,SS,69.7,70.1,0.0701,Fahrbahnerneuerung zusammen mit  P55 Oberkirch D-12995 (ISP 1156484),8/18/2024,10/19/2024,9,Sperre Strecke 24 Std,0.25,"47.170795068, 8.09789385181",Sursee,3
RME,"FMUE - EBR, FbE24 Gleis 91-291",FMUE,EBR,91.324,90.7,0.0907,,1/15/2024,12/15/2024,48,Sperre Strecke Nacht,,"47.070601491, 8.28256532837",Emmenbrücke,2
RME,Bhf OL Gl. 2-4,OL,OL,39.11,39.51,0.03951,Wochenendsperrung,1/1/2024,12/29/2024,52,Sperre Bahnhof 24 Std,0.25,"47.3519347412, 7.90769966099",Olten,6
RME,"BS, W. 246, 330, Gl. L44, L64",BS,BS,,,0,,1/1/2024,12/29/2024,52,Sperre Bahnhof Nacht,0.25,"47.547412091, 7.58956277697",Basel SBB,5
RME,AS35 LB-HU: partielle Doppelspur,LB,HU,60.5,62.8,0.0628,,1/1/2026,12/25/2030,260,Sperre Strecke Nacht,0.25,"47.3882858408, 8.12569329661",Hunzenschwil,2
RME,AS35 SCOE Neubau Wendegleisanlage,SCOE,SCOE,,,0,BZU-Projekt abgestimmt auf AS35,6/1/2026,12/12/2027,80,Sperre Bahnhof Nacht,0.5,"47.3714238978, 8.00015834607",Schönenwerd SO,5
RME,UF Eppenberg,DK,AA,,,0,"Total 40 Sperrungen von 22.20-05.40.  10 Sperrungen, zusammenhängend ab So bis Fr je Quartal",1/1/2024,12/29/2024,52,Sperre Strecke Nacht,0.5,"47.3913594962, 8.05127371849",Aarau,2
RME,"LZVH MEG KUE, Stellwerkersatz",FMUE,IM,4.38,17.1,0.0171,,7/1/2023,12/26/2025,130,Sperre Strecke Nacht,0.25,"47.0916186586, 8.46267208892",Immensee,2
RME,"Immensee, BZU23 und Instandsetzung U Kantonsstrasse",IM,IM,0.05,0.75,0.00075,Immensee: Koo BZU23 und Instandsetzung U Kantonsstrasse im 2025,2/1/2025,10/31/2025,39,Sperre Bahnhof 24 Std,0.25,"47.0916186586, 8.46267208892",Immensee,6
RME,"LB=RU, Gl. 23-333-22, 22-433-23",LB,RU,32.83,35.3,0.0353,,1/1/2024,12/15/2024,50,Sperre Strecke Nacht,0.5,"47.4032902238, 8.12695636496",Rupperswil,2
RME,,AA,RU,,,0,FbE24 Aarau Weichen 10-12 (und allenf. 27-35+Gleis 241),1/1/2024,12/29/2024,52,Sperre Strecke 24 Std,0.5,"47.4032902238, 8.12695636496",Rupperswil,3
RME,"Immensee, BZU23 und Instandsetzung U Kantonsstrasse",IM,IM,0.05,0.75,ganzer Bhf,mmensee: Koo BZU23 und Instandsetzung U Kantonsstrasse im 2025,2/1/2025,10/31/2025,39,Sperre Bahnhof Tag,0.25,"47.0916186586, 8.46267208892",Immensee,4
RWT,RIM La Plaine - Vernier + Viaduc de l^'Alondon,LP,CHNE,,,,,1/1/2024,12/29/2024,52,Sperre Strecke 24 Std,0.5,"46.2171294664, 6.10260397474",Châtelaine (bif),3
RWT,St.Prex - Morges : FbE voie 409,MOR,STP,16.6,13.2,3.4,,7/29/2024,8/25/2024,4,Sperre Strecke 24 Std,0.5,"46.4823168698, 6.45590595285",St-Prex,3
RWT,FbE  2024 Denges - Renens voie 400,DEN,REN,6.596,4.965,1.631,,3/17/2024,4/27/2024,6,Sperre Strecke Nacht,0.25,"46.5370424761, 6.57893536401",Renens VD,2
RWT,Lausanne - Grandvaux : viaduc de Rochettaz,LS,CVN,,,,,1/1/2024,10/6/2024,40,Sperre Strecke 24 Std,0.5,"46.5130844611, 6.67832353213",La Conversion,3
RWT,Lausanne - La Conversion : viaduc du Châtelard,LS,CVN,,,,,1/1/2028,10/6/2028,40,Sperre Strecke 24 Std,0.5,"46.5130844611, 6.67832353213",La Conversion,3
RWT,Rose :  Wako lot 5.1,ROS,ROS,,,,,1/1/2024,12/29/2024,52,Sperre Bahnhof 24 Std,0.5,"46.7826334225, 7.06196863764",Rosé,6
RWT,"Monthey - St-Gingolph, renouvellement voie, LC et PN",MTH,BOU,6.492,22.148,-15.656,"EP terminée, Putz-Perrier",,,,,,"46.385817123, 6.85324388418",Bouveret,404
RWT,Neuchâtel Serrières : mise en conformité,NESE,NESE,72.2,72.6,-0.4,,1/1/2024,12/29/2024,52,Sperre Bahnhof Nacht,0.5,"46.9839623251, 6.903362631",Neuchâtel-Serrières,5
RWT,AS25 : doppelspur Ligerz-Twann,LIG,TWN,96.153,93.919,2.234,,,###############################################################################################################################################################################################################################################################,,,,"47.0936641015, 7.15649746383",Twann,404
RWT,SBL-CORN FS23 Renouvellement,SBL,CORN,79.975,82.745,-2.77,pas de CPr / replanifié 2025,7/4/2025,7/24/2025,3,Sperre Strecke Nacht,0.25,"47.0385720221, 7.02336560983",Cornaux,2
RWT,"LHE, assainissement pont de Tournedos",LHE,LHE,47.235,,,Frédéric Restani,1/1/2024,12/29/2024,52,Sperre Strecke 24 Std,0.5,"47.1894917627, 7.22539576798",La Heutte,3
ROT,HGO Bahnhofumbau,HGO,HGO,,,,,1/1/2024,11/30/2025,100,Umsetzung,,"47.2587498232, 8.58981587397",Horgen Oberdorf,0
ROT,Nur Link zu Unterlagen / RSD,,,,,,,,###############################################################################################################################################################################################################################################################,,,,,,404
ROT,ZWD Stw Ersatz,ZWD,ZWD,,,,,1/1/2025,12/1/2026,100,Umsetzung,,"47.5704481599, 8.46791892376",Zweidlen,0
ROT,FbE24 DT Gl. 4+5 (ex 2021),DT,DT,,,,,6/1/2024,7/26/2024,8,Sperre Strecke Nacht,0.5,"47.405783798, 8.40498813474",Dietikon,2
ROT,AS35 ZBTII,TW,TW,,,,,1/1/2030,10/16/2034,250,Umsetzung,,"47.2959813712, 8.56476944831",Thalwil,0
ROT,AS25: PF-ALTD Güterüberholgleis,PF,ALTD,34.4,35.7,,Bauphasenplanung bis 09/2020,8/1/2023,6/30/2025,100,Sperre Strecke Nacht,0.25,"47.1939670295, 8.82290588686",Altendorf,2
ROT,Stw Ersatz ZWIE,ZWIE,ZWIE,,,,,1/1/2027,11/30/2028,100,Umsetzung,,"47.3714772012, 8.52348546565",Zürich Wiedikon,0
ROT,Stw Ersatz HG,HG,HG,,,,,1/1/2028,11/30/2029,100,Umsetzung,,"47.2614833923, 8.59691702338",Horgen,0
ROT,Ulmenberg-Engetunnel,ZWIE,ZWOL,,,,,12/8/2024,12/6/2025,52,Sperre Strecke 24 Std,0.5,"47.34744029, 8.53360098792",Zürich Wollishofen,3
ROT,FbE25: PF- LA Gl. 200 (ex FbE20),PF,LA,,,1,Umsetzung 24 od. 25? MARS + RS nicht identisch,6/23/2024,9/28/2024,14,Sperre Strecke Nacht,0.5,"47.1900684227, 8.85271520237",Lachen,2
ROT,"AS35 ZSTH 4. Gleis, DS ZSTH-ZTB",ZSTH,ZSTH,,,0,,1/1/2026,8/1/2035,500,Umsetzung,,"47.3666097487, 8.54848908807",Zürich Stadelhofen,0
ROT,FbE24 ZTB W1-4,ZTB,ZTB,,,0,W3/4 Geometrieänderung! Koo mit Sperrung Riesbachtunnel,1/1/2024,2/4/2024,5,Sperre Strecke Nacht,0.25,"47.3501246373, 8.56138988846",Zürich Tiefenbrunnen,2
ROT,AS35 HERL-ML DS,HERL,ML,,,0,Konflikt mit Uster- Aatal,1/1/2026,11/15/2028,150,Umsetzung,,"47.2698111422, 8.64431191081",Meilen,0
ROT,AS35 MAEN Kreuzungsstation,MAEN,MAEN,,,0,,1/1/2031,11/30/2032,100,Umsetzung,,"47.2534240091, 8.69234616957",Männedorf,0
ROT,UER Stw Ersatz (ex 2024),UER,UER,,,0,,1/1/2026,10/7/2026,40,Umsetzung,,"47.2358608014, 8.75262523013",Uerikon,0
ROT,FB Stw Ersatz (ex 2024),FB,FB,,,0,,1/1/2026,10/7/2026,40,Umsetzung,,"47.2392035255, 8.78349775224",Feldbach,0
ROT,AS35 ZFZ LU-LIN+LGB Kreuzungstation,LU,LIN,,,0,Start VS 06/21,1/1/2025,12/1/2026,100,Umsetzung,,"46.9255635637, 8.9977948688",Linthal,0
ROT,FsE21 O 760 GLB FL-Erneuerung,GLB,GLB,,,0,ev. Restausführung im 2024,1/2/2024,5/20/2024,20,Umsetzung,,"47.4308267427, 8.55885413606",Glattbrugg,0
ROT,"FbE 25_GLB Gl_31,67, W38, W54 (ex FbE22)",GLB,GLB,,,0,,1/1/2025,4/15/2025,15,Umsetzung,,"47.4308267427, 8.55885413606",Glattbrugg,0
ROT,SHGB G 750m,SHRB,SHRB,,,0,,1/1/2025,6/29/2027,130,Umsetzung,,"47.7099047766, 8.64113837569",Schaffhausen GB,0
ROT,SH Anlageanpassung,SH,SH,,,0,,1/1/2024,10/6/2024,40,Umsetzung,0.25,"47.6982814967, 8.63275579305",Schaffhausen,0
ROT,Stw Ersatz MELS,MELS,MELS,,,0,,1/1/2025,12/1/2026,100,Umsetzung,,"47.053746248, 9.41775823249",Mels,0
ROT,Stw Ersatz Weesen,WN,WN,,,0,,1/1/2025,12/1/2026,100,Umsetzung,,"47.1299210164, 9.09471050742",Weesen,0
ROT,AS35 LQ zusätzliche und längere Annahmegleise Graubünden,LQ,LQ,,,0,,1/1/2024,10/15/2028,250,Umsetzung,,"46.9674404286, 9.55404467894",Landquart,0
ROT,"AS35 ZSTH 4. Gl., DS ZSTH-ZTB",ZSTH,ZTB,,,0,Projektierungs-ISP 1149876,1/1/2026,8/1/2035,500,Umsetzung,,"47.3501246373, 8.56138988846",Zürich Tiefenbrunnen,0
ROT,FbE24 Neugut NEGW W 13-16,NEGW,NEGW,,,0,Fpl Konzept nötig (WE Sperrungen),1/1/2024,2/4/2024,5,Umsetzung,,"47.4031673379, 8.60214177405",Neugut West bei DUE (Abzw),0
ROT,STET Stw Ersatz,STET,STET,,,0,integriert AS35 ZSTH 4. Gl?,1/1/2029,12/1/2030,100,Umsetzung,,"47.3972153717, 8.59614480424",Stettbach,0
ROT,DTL Stw Ersatz,DTL,DTL,,,0,im Projekt AS35 Brüttener,1/1/2029,12/1/2030,100,Umsetzung,,"47.4202020365, 8.61927645696",Dietlikon,0
ROT,EF Perronverlängerung 320m,EF,EF,,,0,FET-WZ,1/1/2024,10/31/2027,200,Sperre Strecke Nacht,,"47.425812078, 8.68667913161",Effretikon,2
ROT,EF Gesamterneuerung,EF,EF,,,0,"Start Vorstudie 08/20, MS1 03/21, MS2 09/21, MS3 07/22",1/1/2037,10/31/2040,200,Umsetzung,,"47.425812078, 8.68667913161",Effretikon,0
ROT,KE BehiG,KE,KE,,,0,"Konzeptanfrage 03.07.20 an FUB, keine Rückmeldung",9/1/2023,11/28/2024,65,Umsetzung,,"47.4528388907, 8.70558620929",Kemptthal,0
ROT,ZWIP Stw Ersatz,ZWIP,ZWIP,,,0,,1/1/2029,12/16/2029,50,Umsetzung,,"47.3930388776, 8.52938238484",Zürich Wipkingen,0
ROT,ZWIP Erhalt Bahninfra,ZWIP,ZWIP,,,0,,12/15/2023,12/12/2024,52,Sperre Strecke 24 Std,1,"47.3930388776, 8.52938238484",Zürich Wipkingen,3
ROT,OP BehiG (Studie läuft),OP,OP,,,0,,1/1/2025,12/1/2026,100,Umsetzung,,"47.4299548445, 8.56179472865",Opfikon,0
ROT,OP Stw Ersatz,OP,OP,,,0,,1/1/2029,12/1/2030,100,Umsetzung,,"47.4299548445, 8.56179472865",Opfikon,0
ROT,AS35 OWT-FF Perronverlängerung 320m,WD,ISL,,,0,,1/1/2025,11/16/2027,150,Umsetzung,,"47.5478349177, 8.84619697706",Islikon,0
ROT,SLG Verlängerung Abstellgleis Gl 97,SLG,SLG,,,0,Verlängerung GL 97 auf über 600m,1/1/2025,12/16/2025,50,Umsetzung,,"47.5388040261, 9.18369439908",Sulgen,0
ROT,"FbE25 WF Gl 389, W264 (ex FbE22)",WF,WF,,,0.251,Nebengleis,1/1/2025,1/21/2025,3,Sperre Bahnhof 24 Std,,"47.5662242454, 9.10636820814",Weinfelden,6
ROT,FsE OA-RH (FL Totalerneuerung),OA,RH,,,0,"8h Einspurbetrieb möglich, Umsetzung 2024 Konflikt mit Rheintal + FbE SLG-OA",1/1/2023,11/15/2025,150,Umsetzung,,"47.565522828, 9.37937134408",Romanshorn,0
ROT,WGR Busquerung,WGR,WGR,,,0,"Evtl. Konflikt mit FsE / BehiG ARN,BZN  bei Umleitungsbedarf via SLG-GSS",1/1/2024,11/30/2025,100,Umsetzung,,"47.4987547049, 8.75105522894",Winterthur Grüze,0
ROT,"FbE24 EL W11,12, Gl 1,34 (ex FbE20)",EL,EL,,,0,,6/17/2024,7/14/2024,4,Sperre Bahnhof 24 Std,,"47.4985290889, 8.86341151986",Elgg,6
ROT,FbE24_SCHZ Gl. 3-53,SCHZ,SCHZ,,,0.82,"Herausforderung Cargo SCHZ, Konzept WE prüfen, voraussichtlich 3-4 WE",5/1/2024,5/28/2024,4,Sperre Bahnhof 24 Std,,"47.4451875896, 9.06843068646",Schwarzenbach SG,6
ROT,SG-SMG Anpassung für Neigezüge,SG,SMG,,,0,,4/1/2022,12/1/2022,35,Umsetzung,,"47.4532159757, 9.6382619195",St Margrethen,0
ROT,FbE 2030: ORT - ALT,ORT,ALT,38.2,41,0,Anfrage Totalsperre FB Sanierung,4/1/2030,10/27/2030,30,Sperre Strecke 24 Std,1,"47.3742348063, 9.55651992327",Altstätten SG,3
ROT,AS 25: TRUE - BU DS,TRUE,BU,,,0,Verlängerte Nachtsperre Fpl. 24,12/10/2023,12/7/2024,52,Sperre Strecke Nacht,1,"47.1684119711, 9.47863664902",Buchs SG,2
ROT,BU Ersatz Rangierstw,BU,BU,,,0,,1/1/2024,11/30/2025,100,Umsetzung,,"47.1684119711, 9.47863664902",Buchs SG,0
ROT,FbE27 WWUE-PFU Gl 606 (ex FbE22),PFU,WWUE,,,1.734,,1/1/2027,12/16/2027,50,Umsetzung,,"47.5064358947, 8.68092955866",Winterthur Wülflingen,0
ROT,UST Stw Ersatz (ev im Rahmen Projekt DS UST-AAT),UST,UST,,,0,,6/1/2026,12/12/2027,80,Umsetzung,,"47.3503689645, 8.71870911871",Uster,0
ROT,GIB-WL Erneuerung Stb's Grosswis und Büe,GIB,WL,,,0,,9/1/2024,10/25/2025,60,Umsetzung,,"47.2726904861, 8.91399979249",Wald,0
ROT,AS35 OSS Kreuzungsgleis,OSS,OSS,,,0,08/20: ev Zusammenlegung BehiG 1159704 mit Ausbau,1/1/2030,10/31/2033,200,Umsetzung,,"47.6146139832, 8.72411652563",Ossingen,0
ROT,AS35 STR Wendegleis,STR,STR,,,0,,1/1/2031,11/30/2032,100,Umsetzung,,"47.6561110013, 8.85502002864",Stein am Rhein,0
ROT,EW BehiG,EW,EW,,,0,betrieblich nur 1 Perronkante nötig,5/6/2024,9/22/2024,20,Sperre Bahnhof 24 Std,0.5,"47.6611446979, 8.81861733248",Etzwilen,6
ROT,FsE24: RH - RS,RH,RS,,,0,Terminkonflikt mit Sperrung Rheintal,1/1/2025,12/1/2026,100,Umsetzung,,"47.4780019584, 9.50514123365",Rorschach,0
ROT,FbE24_BROA-WIL_Gl_700 (ex FbE20),BROA,WIL,,,0,Totalsperre Herbstferien,10/5/2024,10/25/2024,3,Sperre Strecke 24 Std,1,"47.4624132783, 9.04099307807",Wil SG,3
ROT,FbE24 TOA W9 (ex FbE20),TOA,TOA,,,0,Totalsperre Herbstferien,10/5/2024,10/18/2024,2,Sperre Bahnhof 24 Std,1,"47.5213013698, 9.03370938412",Tobel-Affeltrangen,6
ROT,FbE Rickentunnel,KAB,WA,,,#VALUE!,"Umsetzung 2025, Studie nötig, wenn mögl. mit FbE Gl. 825 Studie nötig",4/1/2025,7/14/2025,15,Sperre Strecke Nacht,,"47.2994799951, 9.08645998773",Wattwil,2
ROT,FbE WA Gl. 825,KAB,WA,,,0.543,soll zusammen mit FbE im Rickentunnel umgesetzt werden Verschiebung 24->25???,6/17/2025,7/14/2025,4,Sperre Strecke Nacht,,"47.2994799951, 9.08645998773",Wattwil,2
RSD,IM-BRU Unterhaltsfenster,IM,BRU,1,20.9,19.9,Unterhaltsfenster,9/8/2024,9/21/2024,2,Sperre Strecke Nacht,0.5,"46.9991749495, 8.61006762236",Brunnen,2
RSD,600-24- IM-GD-FsE25,IM,GD,1.988,9.226,7.238,FsE 2025,1/1/2025,12/29/2026,104,Sperre Strecke Nacht,0.5,"47.049044874, 8.54944633996",Arth-Goldau,2
RSD,FbE24_GD_GL_5-45,GD,GD,8.6,9.1,0.5,FbE24,3/18/2024,4/7/2024,3,Sperre Bahnhof Nacht,0.5,"47.049044874, 8.54944633996",Arth-Goldau,5
RSD,FbE25_SCHW_W_21-22-23-26,SCHW,SCHW,17.1,17.8,0.7,FbE25,9/23/2024,10/27/2024,5,Sperre Bahnhof Nacht,0.25,"47.0263971725, 8.6321517606",Schwyz,5
RSD,BRU-AL Unterhaltsfenster,BRU,AL,20.9,36.2,15.3,Unterhaltsfenster,4/14/2024,4/27/2024,2,Sperre Strecke Nacht,0.5,"46.8757386867, 8.6315753775",Altdorf,2
RSD,BRU-SK Tunnelbeleuchtung,BRU,SK,21.1,22.97,1.87,Tunnellbeleuchtung,10/1/2024,3/31/2025,26,Sperre Strecke Nacht,0.5,"46.949253997, 8.62074868788",Sisikon,2
RSD,FbE25_ER_W_50-54-55-56,ER,ER,41.6,42.6,0.333,FbE25,8/10/2025,9/13/2025,5,Sperre Bahnhof Nacht,0.5,"46.8203393997, 8.65045465313",Erstfeld,5
RSD,Amsteg Stellwerkersatzt,AS,AS,46.1,47.1,1,STW Ersatzt,9/1/2025,3/29/2026,30,Sperre Bahnhof Nacht,0.5,"46.7810020225, 8.67210555792",Amsteg-Silenen,5
RSD,FbE24_AP_W_14-15-16-17-18,AP,AP,93.3,93.6,0.3,FbE24,4/1/2024,5/12/2024,6,Sperre Bahnhof Tag,0.5,"46.5107637997, 8.689927873",Ambrì-Piotta,4
