Region,project,bp_from,bp_to,km from,km to,distance,Bemerkungen,date from,date to,amount of weeks,Umsetzung /  Intervalltyp / Umleitung,reduction of capacity,bis_geopos,von Betriebspunkt
ROT,FbE26 ZOER-ZFH Gl100/200 (ex FbE22),OP,ZFH,,,4.5,ev. Cluster mit 750-1? 2x2 Wo Einspurbetrieb in FbE22 geplant,1/1/2026,3/25/2026,12,Umsetzung,,"47.4503856566, 8.56240184756",Zürich Flughafen,0
ROT,FbE25 ZFH-DORF Gl 100/200 (ex FbE21),ZFH,DORF,,,1.075,Wochenendsperrung,5/8/2025,5/21/2025,2,Sperre Strecke 24 Std,0.5,"47.4433780357, 8.60956981715",Dorfnest (Abzw),3
ROT,AS35 Brüttenertunnel Abschnitt WS-HUER,WS,HUER,,,0,,1/1/2026,8/31/2033,400,Umsetzung,0.25,"47.4224509409, 8.66343003186",Hürlistein (Abzw),0
ROT,W Abstellanlage Lindareal,W,W,,,0,Studienstart April 2020,1/1/2035,7/13/2036,80,Umsetzung,,"47.5003337739, 8.72382110762",Winterthur,0
ROT,"FbE24: HUER 110,112,114, Gl. 2-22+23",HUER,HUER,,,2.6,"Schlüsselprojekt, WS erforderlich, pro W 1 WE (Sperrperimeter Gl 22-72 / 23-73), Umbau Gl in 8 Std Intervallen möglich",1/1/2024,3/10/2024,10,Umsetzung,,"47.4224509409, 8.66343003186",Hürlistein (Abzw),0
ROT,AS35 FF Güterannahmegleis und Wendegleis FV 420m,FF,FF,,,0,,1/1/2026,12/29/2027,104,Umsetzung,,"47.5581634412, 8.89655962127",Frauenfeld,0
ROT,MUEL BehiG,MUEL,MUEL,,,0,,10/1/2024,9/15/2025,50,Umsetzung,,"47.5881645738, 9.01552204188",Müllheim-Wigoltingen,0
ROT,AS35 SLG-WF ZFZ,SLG,WF,,,0,Studie mit 840-6,1/1/2028,11/30/2029,100,Umsetzung,,"47.5662242454, 9.10636820814",Weinfelden,0
ROT,EdV WGR-SIR Perronverlängerung 320m,WGR,SIR,,,0,"aufwändige Bhfe: SCHK, AD, GUN, SIR",1/1/2027,4/4/2030,170,Umsetzung,,"47.4619971136, 9.00047421982",Sirnach,0
ROT,GSS Erweiterung Gleisanlage GV,GSS,GSS,,,0,,1/1/2024,10/6/2024,40,Umsetzung,,"47.4118315691, 9.25305071952",Gossau SG,0
ROT,SGWI Stw Ersatz,SGWI,SGWI,,,0,,1/1/2027,11/30/2028,100,Umsetzung,,"47.4039294299, 9.300860239",St Gallen Winkeln,0
ROT,AS35 W-SG ZFZ,WGR,SG,,,0,,1/1/2026,9/6/2028,140,Umsetzung,,"47.4231789578, 9.36989672929",St Gallen,0
ROT,6 Durchlässe AD-GSS,GUN,GSS,,,0,6 Durchlässe (gem PoMa)                                              GUN-AD Ersatz Bdu 121.326                  ALG-SCHZ Ersatz Du 104.251                 UZW-ALG Teilern Du 101.822                   UZW-ALG Teilern Bdu 98.366              GSS-BUDZ Teilern Bdu 91.319,1/1/2026,10/7/2026,40,Umsetzung,,"47.4118315691, 9.25305071952",Gossau SG,0
ROT,FsE GSS-SLG,GSS,SLG,,,0,"22 km FsE, 780 Fundamente, vorgesehen FsE24/25",1/1/2024,11/30/2025,100,Umsetzung,,"47.5388040261, 9.18369439908",Sulgen,0
ROT,"FbE24 HGT Gl1-51, 2-52",HGT,HGT,,,0,,1/1/2024,2/25/2024,8,Umsetzung,,"47.5642572262, 8.68507519504",Henggart,0
ROT,FsE22 O 769 WTOE-EMB Erneuerung ULK,WTOE,EMB,,,0,"ohne RS Dossier Verantwortung PM, ev Restarbeiten im 2024",1/1/2023,6/8/2024,75,Umsetzung,,"47.5205902494, 8.58706883565",Embrach-Rorbas,0
ROT,"AS35 DUE-UST-AAT ZFZ und DS, 2 Ersatz BUe Zürcherstr. / Winterthurerstr.",UST,AAT,,,0,"1. TP: 5 Wo Sommer 2027 Totalsperrung, zwingend Rest Randstd, 2. TP ca. 2 WE Sperrungen (2 Brücken), ev Stw Ersatz UST",6/1/2026,11/11/2029,180,Sperre Strecke Nacht,0.25,"47.3359591251, 8.76562510867",Aathal,2
ROT,"FbE24 UST Gl 3-43, W13",UST,UST,,,0,Fpl Konzept nötig (Ausfall wendende S9),1/1/2024,2/11/2024,6,Sperre Bahnhof Nacht,,"47.3503689645, 8.71870911871",Uster,5
ROT,FsE EF-WZ,EF,WZ,,,0,"24 km FL, 680 Fundamente",1/1/2024,11/30/2025,100,Sperre Strecke Nacht,0.25,"47.3180315958, 8.79228970642",Wetzikon,2
ROT,FsE OWT-EW,SEU,EW,,,0,"Abschnitt 3 SEU-EW, soll als Einzelprojekt beauftragt werden",1/1/2023,10/31/2026,200,Sperre Bahnhof Tag,0.5,"47.6611446979, 8.81861733248",Etzwilen,4
