Abbreviation of the operating point,Name of the operating point,Abkuerzung Betriebspunkt Strecke,Name of operating point distance,LINIE,Kilometry of the operating point,LINIENNAME,VERWALTUNG,E,N,BPUIC,Didok Nummer,Name Haltestelle,lod,geopos_x,geopos_y
AAGB,Aarau GB,AAGB,Aarau GB,650,40.309,Killwangen West - Lenzburg - Daniken Ost,SBB,2647397.625,1249489.8590000002,8502136,2136,Aarau GB,http://lod.opentransportdata.swiss/didok/8502136,47.394529127,8.06643793149
AAT,Aathal,AAT,Aathal,740,77.38112,Rapperswil - Uster - Wallisellen Ost,SBB,2700290.162,1243636.271,8503124,3124,Aathal,http://lod.opentransportdata.swiss/didok/8503124,47.3359591251,8.76562510867
ABE,Aarberg,ABE,Aarberg,251,95.49304000000001,Palezieux Est - Lyss Nord,SBB,2587845.752,1210402.487,8504404,4404,Aarberg,http://lod.opentransportdata.swiss/didok/8504404,47.0445413042,7.27869253926
ABO,Aarburg-Oftringen,ABO,Aarburg-Oftringen,500,43.00505,Basel SBB - Olten - Luzern,SBB,2635502.466,1241150.149,8502000,2000,Aarburg-Oftringen,http://lod.opentransportdata.swiss/didok/8502000,47.3202684783,7.90822265971
ABOS,Aarburg-Oftringen Sud (Abzw),ABO,Aarburg-Oftringen,452,0.83337,Rothrist - Zofingen (Kriegsschlaufe),SBB,2636164.469,1240407.291,8502013,2013,Aarburg-Oftringen Süd (Abzw),http://lod.opentransportdata.swiss/didok/8502013,47.3135510897,7.91691900278
ABOW,Aarburg-Oftringen West (Abzw),ABO,Aarburg-Oftringen,451,43.97183,Aarburg-Oftringen - Rothrist Gleis 1,SBB,2635404.732,1240413.368,8508141,8141,Aarburg-Oftringen West (Abzw),http://lod.opentransportdata.swiss/didok/8508141,47.3136469403,7.90687178422
ALN,Altnau,ALN,Altnau,824,92.91919,Romanshorn - Konstanz,SBB,2737355.627,1276121.225,8506125,6125,Altnau,http://lod.opentransportdata.swiss/didok/8506125,47.6213679766,9.265918
ALRH,Altenrhein,ALRH,Altenrhein,880,61.77879,Sargans Ost - St.Gallen,SBB,2758932.131,1261244.738,8515444,15444,Altenrhein,http://lod.opentransportdata.swiss/didok/8515444,47.4827470114,9.54750971088
ALSA,Al Sasso,ALSA,Al Sasso,606,160.0138,Al Sasso - Al Motto (binario sinistro),SBB,2717375.235,1111705.581,8515374,15374,Al Sasso,http://lod.opentransportdata.swiss/didok/8515374,46.1466113253,8.95783539794
ALT,Altstatten SG,ALT,Altstatten SG,880,41.177890000000005,Sargans Ost - St.Gallen,SBB,2759936.6969999997,1249202.59,8506319,6319,Altstätten SG,http://lod.opentransportdata.swiss/didok/8506319,47.3742348063,9.55651992327
ARCA,Archy A (bif),ARCY,Archy (bif),166,5.90939,Renens VD Ouest - Lausanne-Triage Est,SBB,2532895.621,1155064.4479999999,8515301,15301,Archy A (bif),http://lod.opentransportdata.swiss/didok/8515301,46.5434936029,6.56377167989
ARCA,Archy A (bif),ARCY,Archy (bif),168,5.90939,Archy A - Lausanne-Triage Nord,SBB,2532895.621,1155064.4479999999,8515301,15301,Archy A (bif),http://lod.opentransportdata.swiss/didok/8515301,46.5434936029,6.56377167989
ARCH,Arch,ARCH,Arch,415,90.98034,Wanzwil (Abzw) - Solothurn - Busswil,SBB,2598472.96,1223722.804,8500223,223,Arch,http://lod.opentransportdata.swiss/didok/8500223,47.1644670189,7.41848919114
ARN,Arnegg,ARN,Arnegg,852,18.58709,Sulgen - Gossau SG,SBB,2736772.473,1256158.935,8506211,6211,Arnegg,http://lod.opentransportdata.swiss/didok/8506211,47.4420016029,9.25202496067
AS,Amsteg-Silenen,AS,Amsteg-Silenen,600,46.54553,Immensee - Bellinzona - Chiasso,SBB,2694192.689,1181832.058,8505115,5115,Amsteg-Silenen,http://lod.opentransportdata.swiss/didok/8505115,46.7810020225,8.67210555792
ASZW,Amsteg Zugangsstollen West,ASZW,Amsteg Zugangsstollen West,5001,-0.1,Amsteg Zugangsstollen,SBB,2694088.6610000003,1181293.994,8518488,18488,Amsteg Zugangsstollen West,http://lod.opentransportdata.swiss/didok/8518488,46.7761771621,8.67063286695
BAA,Baar,BAA,Baar,660,26.608340000000002,Thalwil - Zug - Fluhmuhle,SBB,2682191.228,1227725.122,8502206,2206,Baar,http://lod.opentransportdata.swiss/didok/8502206,47.1953640193,8.52327156341
BAER,Barschwil,BAER,Barschwil,230,97.5245,Delemont Est - Basel SBB Ost,SBB,2602890.431,1249997.07,8500112,112,Bärschwil,http://lod.opentransportdata.swiss/didok/8500112,47.4007866647,7.47691414229
BALT,Baltschieder (Agl),BALT,Baltschieder (Agl),100,135.90200000000002,Lausanne - Simplon Tunnel I - Iselle,SBB,2633388.4280000003,1127202.217,8515515,15515,Baltschieder (Agl),http://lod.opentransportdata.swiss/didok/8515515,46.2954044512,7.87194871039
